10,Corn,Corn,Corn,Corn
1778,Corn,Corn,Corn,Soybeans
200,Corn,Corn,Spring Wheat,Corn
571,Corn,Corn,Winter Wheat,Winter Wheat
247,Corn,Corn,Alfalfa,Alfalfa
4951,Corn,Corn,Soybeans,Corn
1505,Corn,Corn,Soybeans,Winter Wheat
5,Corn,Corn,Soybeans,Soybeans
124,Corn,Winter Wheat,Corn,Winter Wheat
1940,Corn,Winter Wheat,Corn,Soybeans
195,Corn,Winter Wheat,Winter Wheat,Corn
46,Corn,Alfalfa,Corn,Alfalfa
92,Corn,Alfalfa,Winter Wheat,Corn
201,Corn,Alfalfa,Alfalfa,Corn
297,Corn,Alfalfa,Alfalfa,Alfalfa
18,Corn,Soybeans,Corn,Corn
8,Corn,Soybeans,Corn,Soybeans
2279,Corn,Soybeans,Spring Wheat,Corn
35,Corn,Soybeans,Winter Wheat,Corn
14,Corn,Soybeans,Soybeans,Corn
322,Corn,Soybeans,Soybeans,Soybeans
234,Corn,Fallow/Idle Cropland,Winter Wheat,Corn
268,Corn,Fallow/Idle Cropland,Sorghum,Corn
259,Corn,Fallow/Idle Cropland,Soybeans,Corn
109,Spring Wheat,Corn,Corn,Spring Wheat
2029,Spring Wheat,Corn,Soybeans,Spring Wheat
22,Spring Wheat,Spring Wheat,Spring Wheat,Spring Wheat
2002,Spring Wheat,Spring Wheat,Winter Wheat,Corn
1386,Spring Wheat,Canola,Spring Wheat,Spring Wheat
1380,Spring Wheat,Canola,Spring Wheat,Canola
216,Spring Wheat,Sugarbeets,Soybeans,Spring Wheat
3110,Spring Wheat,Soybeans,Corn,Soybeans
84,Spring Wheat,Soybeans,Spring Wheat,Soybeans
969,Spring Wheat,Soybeans,Soybeans,Spring Wheat
1668,Winter Wheat,Corn,Winter Wheat,Winter Wheat
138,Winter Wheat,Corn,Soybeans,Winter Wheat
99,Winter Wheat,Corn,Soybeans,Soybeans
209,Winter Wheat,Corn,Fallow/Idle Cropland,Winter Wheat
175,Winter Wheat,Winter Wheat,Corn,Corn
328,Winter Wheat,Winter Wheat,Corn,Winter Wheat
3,Winter Wheat,Winter Wheat,Winter Wheat,Winter Wheat
7893,Winter Wheat,Winter Wheat,Winter Wheat,Sorghum
1932,Winter Wheat,Winter Wheat,Winter Wheat,Soybeans
20,Winter Wheat,Winter Wheat,Alfalfa,Alfalfa
4862,Winter Wheat,Winter Wheat,Sorghum,Sorghum
429,Winter Wheat,Winter Wheat,Sorghum,Soybeans
682,Winter Wheat,Winter Wheat,Soybeans,Corn
94,Winter Wheat,Winter Wheat,Soybeans,Winter Wheat
701,Winter Wheat,Winter Wheat,Soybeans,Soybeans
56,Winter Wheat,Winter Wheat,Fallow/Idle Cropland,Winter Wheat
42,Winter Wheat,Winter Wheat,Fallow/Idle Cropland,Fallow/Idle Cropland
214,Winter Wheat,Alfalfa,Corn,Winter Wheat
3225,Winter Wheat,Sorghum,Corn,Winter Wheat
88,Winter Wheat,Sorghum,Sorghum,Winter Wheat
305,Winter Wheat,Sorghum,Sorghum,Sorghum
189,Winter Wheat,Sorghum,Fallow/Idle Cropland,Winter Wheat
126,Winter Wheat,Soybeans,Corn,Winter Wheat
6854,Winter Wheat,Soybeans,Corn,Soybeans
4783,Winter Wheat,Soybeans,Winter Wheat,Winter Wheat
34,Winter Wheat,Soybeans,Winter Wheat,Soybeans
11,Winter Wheat,Soybeans,Soybeans,Winter Wheat
780,Winter Wheat,Fallow/Idle Cropland,Corn,Winter Wheat
5855,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Winter Wheat
81,Winter Wheat,Fallow/Idle Cropland,Alfalfa,Winter Wheat
